Full Name,Email,Mobile,City,State,Lead Status,Source,Lead Date
Deepak Kumar,lead926@example.com,9726511095.0,Kochi,Maharashtra,Lost,Referral,08/02/2026
Sunita Thapa,lead514@example.com,9038025023.0,Bengaluru,Telangana,,Social Media,22/07/2025
Neha Patel,lead111@example.com,9099677389.0,Pune,Maharashtra,Qualified,Referral,2025/11/05
Sunita Kumar,lead609@example.com,9583563228.0,Pune,Kerala,Qualified,Google Ads,04-07-2025
Sanjay Patel,,9247930244.0,Bengaluru,Delhi,Lost,Google Ads,30-01-2026
Rahul Reddy,lead1019@example.com,9511980825.0,Delhi,Maharashtra,New,Website,15/05/2025
Deepak Joshi,lead906@example.com,9486330065.0,Pune,Karnataka,New,Google Ads,2025-01-30
Priya Patel,lead655@example.com,9614357498.0,Mumbai,Maharashtra,,Referral,28/02/2025
Amit Gupta,lead903@example.com,9370971551.0,,Kerala,New,Social Media,2026/02/15
Rahul Kumar,lead162@example.com,9429872268.0,Pune,Telangana,New,Social Media,28-10-2025
Vikram Kumar,lead791@example.com,9712766920.0,Pune,Delhi,,Referral,2026/01/12
Amit Singh,lead381@example.com,9967095155.0,Bengaluru,Telangana,,Referral,18-09-2025
Vikram Thapa,lead191@example.com,9890561965.0,Bengaluru,Delhi,Lost,Referral,2025/10/09
Anjali Thapa,lead479@example.com,9545897789.0,Mumbai,Telangana,,Website,2026-01-18
Priya Reddy,lead636@example.com,9301998152.0,Hyderabad,Kerala,Lost,Referral,07/05/2026
Anjali Joshi,lead339@example.com,9105654397.0,Hyderabad,Kerala,Lost,Website,2026/02/01
Vikram Sharma,,9633140376.0,Hyderabad,Maharashtra,Lost,Google Ads,2026-04-19
Amit Sharma,,9654242265.0,,Delhi,New,Website,2026-06-11
Neha Thapa,lead412@example.com,9723678999.0,Kochi,Telangana,Qualified,Google Ads,2025-05-13
Priya Gupta,lead440@example.com,9400887391.0,,Delhi,New,Social Media,11-02-2025
Sanjay Thapa,lead803@example.com,9724798300.0,Mumbai,Maharashtra,New,Referral,2025-11-13
Amit Joshi,lead254@example.com,9819160505.0,Pune,Karnataka,,Social Media,2025/01/29
Priya Singh,lead671@example.com,9614433647.0,Bengaluru,Maharashtra,Qualified,Social Media,01-06-2025
Deepak Sharma,lead121@example.com,9562906202.0,Kochi,Maharashtra,Follow Up,Social Media,12-07-2025
Rahul Sharma,lead317@example.com,9848125195.0,Mumbai,Kerala,,Google Ads,06/04/2025
Priya Das,lead290@example.com,9843783351.0,Pune,Karnataka,,Google Ads,2026-04-09
Neha Das,lead461@example.com,9119136221.0,Hyderabad,Delhi,Qualified,Google Ads,2026-01-22
Amit Thapa,lead464@example.com,9625009164.0,Delhi,Karnataka,Follow Up,Social Media,2026-02-06
Sunita Joshi,lead686@example.com,9556207831.0,Bengaluru,Maharashtra,New,Google Ads,07/10/2025
Vikram Joshi,lead544@example.com,9516060227.0,Kochi,Kerala,Lost,Google Ads,29-11-2025
Sanjay Joshi,lead919@example.com,9156376662.0,Mumbai,Kerala,New,Website,15-09-2025
Vikram Kumar,lead1018@example.com,9276785282.0,,Telangana,Qualified,Social Media,02/06/2025
Anjali Singh,lead988@example.com,9514174930.0,Pune,Telangana,,Social Media,25/03/2026
Deepak Reddy,lead629@example.com,9507406405.0,Delhi,Karnataka,New,Google Ads,2025-05-05
Priya Joshi,lead652@example.com,9177519666.0,Mumbai,Maharashtra,Lost,Google Ads,29-04-2026
Neha Sharma,lead862@example.com,9980772383.0,Hyderabad,Kerala,,Website,04/09/2025
Vikram Patel,lead760@example.com,9046237138.0,Delhi,Karnataka,,Social Media,29/06/2026
Vikram Patel,lead899@example.com,9113394973.0,Mumbai,Telangana,Qualified,Google Ads,19/11/2025
Rahul Verma,lead39@example.com,9637617957.0,Mumbai,Kerala,Qualified,Social Media,21-06-2026
Rahul Patel,lead647@example.com,9428522670.0,Hyderabad,Maharashtra,,Social Media,03/03/2025
Anjali Joshi,lead653@example.com,9705271388.0,Hyderabad,Telangana,Qualified,Referral,19/03/2025
Deepak Reddy,lead758@example.com,9806116476.0,Mumbai,Telangana,,Google Ads,19-04-2026
Vikram Sharma,,9411484883.0,Bengaluru,Kerala,Follow Up,Google Ads,2026/03/16
Neha Singh,lead455@example.com,9113120172.0,,Telangana,Qualified,Social Media,2025/07/02
Deepak Patel,lead393@example.com,9604415403.0,Bengaluru,Delhi,Qualified,Social Media,2025/04/27
Anjali Sharma,lead325@example.com,,Kochi,Maharashtra,Follow Up,Website,21/02/2026
Neha Das,lead81@example.com,9340922998.0,Bengaluru,Telangana,Qualified,Website,02-11-2025
Vikram Patel,lead872@example.com,9909160230.0,Delhi,Delhi,Qualified,Website,2025/05/23
Sunita Patel,lead1086@example.com,9663752001.0,Delhi,Kerala,,Referral,21/05/2025
Priya Thapa,lead934@example.com,9282561604.0,Hyderabad,Karnataka,Follow Up,Social Media,15/06/2025
Sanjay Patel,,,Pune,Maharashtra,,Social Media,2025-08-05
Deepak Reddy,lead387@example.com,9014065044.0,Hyderabad,Karnataka,Follow Up,Social Media,27-06-2025
Vikram Joshi,lead778@example.com,9467596056.0,Pune,Delhi,Lost,Social Media,02-02-2025
Megha Sharma,lead812@example.com,9497149130.0,Kochi,Maharashtra,Qualified,Website,2025-09-30
Deepak Joshi,lead178@example.com,9061284742.0,Hyderabad,Kerala,Follow Up,Social Media,2025-10-18
Deepak Joshi,,9077309405.0,Mumbai,Delhi,Qualified,Social Media,2025-01-07
Sunita Patel,lead601@example.com,9078732729.0,Hyderabad,Kerala,Qualified,Google Ads,08/10/2025
Rahul Kumar,lead447@example.com,9267946002.0,Delhi,Delhi,Qualified,Social Media,2025/09/01
Anjali Patel,lead262@example.com,9271987953.0,Pune,Kerala,Qualified,Google Ads,2025-06-19
Megha Reddy,lead822@example.com,9249414178.0,Pune,Delhi,Lost,Google Ads,20/04/2025
Priya Patel,lead963@example.com,9062660390.0,Mumbai,Kerala,New,Social Media,2025/03/28
Sunita Patel,lead896@example.com,9881072142.0,Delhi,Maharashtra,,Referral,08-08-2025
Sunita Reddy,lead157@example.com,9973506352.0,Pune,Kerala,New,Website,02/09/2025
Priya Verma,,9203962591.0,Hyderabad,Delhi,,Referral,2025/12/20
Sunita Joshi,lead437@example.com,9015334369.0,Kochi,Telangana,Follow Up,Social Media,2025/05/20
Sunita Sharma,,9795260349.0,Pune,Maharashtra,Qualified,Social Media,15-09-2025
Amit Patel,lead836@example.com,9006376080.0,,Karnataka,New,Social Media,2025-10-21
Vikram Verma,lead513@example.com,9081769306.0,Pune,Maharashtra,,Website,2026-04-28
Deepak Kumar,lead378@example.com,9020961527.0,Pune,Kerala,Follow Up,Website,2026/05/13
Deepak Das,,,Pune,Karnataka,Follow Up,Website,30/03/2025
Sanjay Joshi,lead227@example.com,9487349275.0,Hyderabad,Telangana,New,Referral,16-04-2025
Priya Verma,lead220@example.com,9566072276.0,,Delhi,Lost,Social Media,2025/03/07
Anjali Joshi,lead446@example.com,9721051434.0,,Maharashtra,Follow Up,Social Media,2025-05-01
Sanjay Thapa,lead521@example.com,9582026715.0,Hyderabad,Karnataka,,Google Ads,2026/01/22
Sanjay Patel,lead725@example.com,,Pune,Telangana,Qualified,Social Media,2025-04-03
Deepak Singh,lead672@example.com,9027098562.0,Kochi,Maharashtra,New,Google Ads,2026/02/05
Megha Joshi,lead964@example.com,9357548937.0,Bengaluru,Karnataka,New,Social Media,09-02-2025
Priya Patel,lead288@example.com,9592420196.0,Hyderabad,Maharashtra,,Referral,2026/02/13
Sanjay Singh,lead909@example.com,9209768746.0,,Karnataka,Lost,Website,2025-02-11
Anjali Verma,lead1067@example.com,9408657780.0,Kochi,Karnataka,Lost,Google Ads,22-05-2025
Sunita Singh,lead1094@example.com,9504690522.0,Kochi,Kerala,New,Google Ads,15-01-2026
Anjali Gupta,lead79@example.com,9196570133.0,Kochi,Maharashtra,Lost,Website,28/06/2025
Anjali Gupta,lead431@example.com,9439033224.0,Kochi,Kerala,Qualified,Referral,15-02-2025
Rahul Kumar,lead884@example.com,9980214537.0,Hyderabad,Kerala,New,Social Media,25-05-2025
Priya Joshi,lead971@example.com,9880976868.0,Bengaluru,Karnataka,Lost,Social Media,25/04/2025
Neha Singh,lead392@example.com,9592835546.0,Pune,Telangana,Follow Up,Referral,2026-04-26
Anjali Gupta,lead1009@example.com,9669514420.0,Bengaluru,Maharashtra,Follow Up,Google Ads,12/11/2025
Vikram Reddy,lead501@example.com,9155388756.0,Mumbai,Delhi,New,Google Ads,04-04-2025
Priya Verma,lead608@example.com,9254529631.0,Delhi,Delhi,Qualified,Referral,26/01/2025
Neha Kumar,lead729@example.com,9329078662.0,Hyderabad,Karnataka,Lost,Social Media,2025/10/20
Anjali Sharma,,9788561926.0,Delhi,Delhi,Qualified,Website,2026/01/08
Vikram Verma,,9717142331.0,Bengaluru,Karnataka,,Social Media,20-10-2025
Neha Verma,lead358@example.com,9532952351.0,,Kerala,New,Website,2025-10-06
Anjali Reddy,lead551@example.com,9946550105.0,Kochi,Delhi,New,Website,2025-03-28
Priya Joshi,lead391@example.com,9850413082.0,Bengaluru,Maharashtra,,Referral,20/06/2026
Megha Patel,lead432@example.com,9424025140.0,Delhi,Telangana,New,Google Ads,13/01/2025
Amit Das,lead914@example.com,9706825668.0,Mumbai,Telangana,,Website,01/04/2025
Sunita Gupta,lead170@example.com,9645752183.0,Hyderabad,Karnataka,New,Referral,03-05-2025
Vikram Das,lead25@example.com,,Hyderabad,Kerala,Qualified,Google Ads,2026/06/10
Neha Gupta,lead931@example.com,9449792917.0,Pune,Karnataka,Qualified,Google Ads,2025/08/28
Rahul Verma,lead342@example.com,9404782984.0,,Kerala,,Referral,2026-05-30
Rahul Thapa,lead837@example.com,9918867919.0,Kochi,Karnataka,,Referral,2025/01/05
Megha Joshi,lead799@example.com,9674543043.0,,Delhi,,Referral,01-04-2025
Priya Sharma,lead234@example.com,9292050544.0,Kochi,Kerala,Follow Up,Google Ads,24/03/2025
Sanjay Sharma,lead104@example.com,9596103719.0,,Kerala,Lost,Social Media,30-12-2025
Rahul Verma,lead1076@example.com,9207901449.0,Delhi,Kerala,Follow Up,Referral,24/01/2026
Amit Joshi,lead663@example.com,9442154656.0,Kochi,Karnataka,,Website,11-09-2025
Deepak Thapa,lead320@example.com,9923087429.0,Hyderabad,Telangana,Qualified,Referral,30/01/2026
Megha Gupta,lead504@example.com,9669506917.0,,Maharashtra,Qualified,Website,2025/09/08
Priya Sharma,,9953723616.0,,Maharashtra,New,Website,2025-09-25
Vikram Joshi,lead651@example.com,9442391232.0,Delhi,Telangana,Qualified,Social Media,13/10/2025
Megha Verma,lead562@example.com,9119015433.0,Mumbai,Delhi,,Social Media,09-07-2025
Amit Patel,lead740@example.com,9716013600.0,Bengaluru,Maharashtra,Lost,Referral,08-01-2025
Priya Singh,lead41@example.com,9146704600.0,Delhi,Karnataka,Lost,Website,13/05/2026
Vikram Das,lead539@example.com,9486829804.0,Bengaluru,Telangana,Lost,Social Media,2025/12/23
Rahul Sharma,lead783@example.com,9484286161.0,Bengaluru,Maharashtra,Lost,Referral,07/08/2025
Priya Reddy,lead85@example.com,9848846646.0,Delhi,Maharashtra,Lost,Google Ads,2026/02/02
Sanjay Kumar,lead591@example.com,9517912427.0,Delhi,Maharashtra,New,Google Ads,23/10/2025
Megha Patel,lead744@example.com,9426946241.0,Delhi,Kerala,,Google Ads,23/09/2025
Vikram Kumar,lead732@example.com,9178165665.0,Pune,Kerala,Lost,Social Media,2026/03/07
Neha Singh,lead1082@example.com,9126071812.0,Hyderabad,Kerala,,Google Ads,2026/06/16
Sunita Das,lead681@example.com,9598612381.0,Hyderabad,Kerala,,Google Ads,19-02-2025
Priya Singh,lead612@example.com,9743264784.0,,Telangana,Lost,Social Media,2026/01/15
Rahul Thapa,lead423@example.com,9597088662.0,Kochi,Delhi,New,Referral,26/09/2025
Rahul Patel,lead617@example.com,9199771632.0,Bengaluru,Karnataka,Follow Up,Referral,31-05-2025
Sanjay Reddy,,9091982358.0,Bengaluru,Delhi,Follow Up,Website,18-03-2026
Vikram Kumar,lead232@example.com,9106968422.0,Bengaluru,Telangana,Qualified,Google Ads,2025/03/06
Amit Das,lead126@example.com,9846160935.0,Hyderabad,Karnataka,Follow Up,Social Media,03/03/2026
Vikram Patel,lead284@example.com,9733920034.0,Delhi,Karnataka,Lost,Website,04-11-2025
Deepak Verma,lead828@example.com,9155901876.0,Hyderabad,Delhi,Lost,Google Ads,12-03-2026
Rahul Gupta,lead574@example.com,9663159617.0,Delhi,Maharashtra,Lost,Website,12/03/2025
Megha Gupta,lead564@example.com,9237767514.0,Delhi,Delhi,,Google Ads,03-11-2025
Priya Sharma,lead417@example.com,9308809761.0,Hyderabad,Kerala,Qualified,Referral,31-01-2026
Rahul Verma,lead790@example.com,9222492438.0,Pune,Kerala,Lost,Google Ads,07-08-2025
Megha Gupta,lead12@example.com,9443236217.0,Pune,Karnataka,Follow Up,Google Ads,2025/07/17
Sanjay Thapa,lead20@example.com,9438614853.0,Bengaluru,Karnataka,New,Website,13/12/2025
Amit Sharma,lead130@example.com,9910970260.0,Kochi,Maharashtra,Lost,Google Ads,2025-11-30
Rahul Patel,lead156@example.com,9774058285.0,Delhi,Delhi,Qualified,Website,2025/06/09
Amit Sharma,lead1090@example.com,9826767625.0,Kochi,Kerala,Qualified,Google Ads,2026/02/18
Neha Verma,lead107@example.com,9913156546.0,Mumbai,Kerala,Lost,Google Ads,17/05/2025
Rahul Joshi,lead303@example.com,9830936174.0,Mumbai,Telangana,Qualified,Social Media,2025/08/16
Sunita Thapa,,9795931480.0,Delhi,Maharashtra,New,Google Ads,2025/05/31
Neha Gupta,lead314@example.com,9920326697.0,Bengaluru,Kerala,,Google Ads,15-01-2026
Neha Reddy,,9634591125.0,,Telangana,Lost,Google Ads,16-03-2026
Deepak Joshi,lead56@example.com,9875683051.0,Pune,Telangana,Lost,Website,25-04-2026
Anjali Joshi,lead386@example.com,9027131475.0,,Telangana,Qualified,Social Media,2026/05/11
Priya Joshi,lead336@example.com,9447743756.0,Hyderabad,Karnataka,Follow Up,Google Ads,25-03-2026
Amit Verma,,9524716575.0,Pune,Delhi,Lost,Google Ads,26/05/2025
Megha Thapa,lead616@example.com,9388515898.0,Hyderabad,Maharashtra,,Social Media,2025-02-16
Sunita Gupta,lead1010@example.com,9780538431.0,Pune,Delhi,Lost,Social Media,27-02-2026
Sunita Gupta,lead395@example.com,9013382557.0,,Maharashtra,Follow Up,Referral,2025-02-18
Deepak Singh,lead1056@example.com,9343808828.0,Delhi,Telangana,Follow Up,Website,2025-08-02
Rahul Reddy,lead226@example.com,9575082926.0,Kochi,Maharashtra,Qualified,Website,08/06/2025
Priya Reddy,lead972@example.com,9587822987.0,Kochi,Delhi,Qualified,Website,02/04/2025
Megha Thapa,lead714@example.com,9312017286.0,Kochi,Maharashtra,Follow Up,Referral,2025-05-10
Vikram Reddy,lead452@example.com,9328335135.0,,Telangana,Lost,Social Media,27-04-2025
Sunita Joshi,lead373@example.com,9213834945.0,Bengaluru,Telangana,Lost,Website,2025/06/18
Vikram Verma,lead132@example.com,9789321283.0,Pune,Telangana,Qualified,Website,2026-02-02
Priya Patel,lead241@example.com,9863529445.0,Hyderabad,Delhi,New,Social Media,2026-06-11
Neha Verma,lead827@example.com,9311931916.0,Hyderabad,Telangana,,Social Media,2025/11/27
Sanjay Verma,lead643@example.com,9176769503.0,Hyderabad,Karnataka,,Social Media,03-09-2025
Rahul Gupta,lead486@example.com,9573544489.0,Kochi,Maharashtra,New,Website,02/06/2026
Priya Kumar,lead326@example.com,9857540826.0,Pune,Kerala,Lost,Social Media,06-02-2025
Deepak Patel,lead826@example.com,9772607201.0,,Delhi,Lost,Website,28-05-2026
Neha Thapa,lead708@example.com,9784181682.0,Mumbai,Delhi,Lost,Website,2025-08-03
Amit Reddy,lead1085@example.com,9962428677.0,Delhi,Kerala,New,Google Ads,27/01/2025
Neha Singh,lead370@example.com,9375473636.0,Pune,Karnataka,Follow Up,Website,09-11-2025
Anjali Gupta,lead291@example.com,9693709937.0,Hyderabad,Telangana,Follow Up,Website,2025/01/21
Sunita Kumar,lead298@example.com,9240961801.0,Hyderabad,Maharashtra,Follow Up,Referral,09-04-2026
Deepak Verma,lead500@example.com,,Hyderabad,Karnataka,Follow Up,Website,27-04-2026
Sunita Singh,lead99@example.com,9462663718.0,Bengaluru,Maharashtra,New,Google Ads,2025-09-05
Sunita Joshi,lead538@example.com,9275717992.0,Delhi,Delhi,Follow Up,Referral,20/02/2026
Sanjay Kumar,lead445@example.com,9085898197.0,Bengaluru,Kerala,Lost,Website,2025/02/03
Sunita Patel,lead516@example.com,9339102334.0,Hyderabad,Kerala,Qualified,Website,2026/05/04
Vikram Sharma,lead713@example.com,9502919125.0,,Karnataka,Qualified,Social Media,2026-01-12
Amit Das,lead697@example.com,9631136172.0,Pune,Maharashtra,New,Social Media,2025-11-04
Amit Reddy,lead217@example.com,9558031882.0,Hyderabad,Delhi,Lost,Social Media,25/07/2025
Vikram Reddy,lead659@example.com,9768927543.0,Hyderabad,Delhi,Qualified,Social Media,2025/06/21
Neha Singh,lead553@example.com,9990001753.0,Bengaluru,Karnataka,Lost,Google Ads,2025/08/19
Vikram Sharma,lead965@example.com,9336898608.0,Hyderabad,Maharashtra,Follow Up,Social Media,08/01/2025
Sanjay Singh,lead777@example.com,9378351698.0,Kochi,Delhi,Qualified,Google Ads,2026-03-19
Neha Joshi,lead823@example.com,9958377032.0,Delhi,Telangana,Lost,Referral,2025/05/10
Vikram Gupta,lead742@example.com,9388426900.0,Pune,Maharashtra,Follow Up,Website,22-10-2025
Priya Thapa,lead460@example.com,9830492146.0,,Maharashtra,,Google Ads,13/06/2026
Anjali Singh,lead854@example.com,9744725407.0,Bengaluru,Kerala,Qualified,Website,2025/02/18
Deepak Thapa,lead468@example.com,9797747225.0,,Delhi,,Social Media,27/02/2025
Anjali Das,lead289@example.com,9887739401.0,Mumbai,Delhi,,Google Ads,02-07-2025
Deepak Thapa,lead1087@example.com,9688045738.0,,Delhi,Qualified,Referral,18-03-2025
Rahul Thapa,lead502@example.com,9791703638.0,Delhi,Maharashtra,New,Google Ads,03/06/2026
Megha Thapa,lead726@example.com,9698700970.0,Bengaluru,Maharashtra,,Referral,2026/06/25
Megha Gupta,lead505@example.com,9231924592.0,,Telangana,,Referral,2025-04-18
Deepak Thapa,lead197@example.com,9363673762.0,Mumbai,Delhi,Lost,Website,12-03-2025
Amit Das,lead93@example.com,9368591301.0,Kochi,Delhi,Lost,Google Ads,2025-08-16
Deepak Joshi,lead106@example.com,9346658413.0,Pune,Delhi,Lost,Google Ads,07-12-2025
Anjali Patel,lead782@example.com,9862025594.0,Pune,Karnataka,New,Website,2025-06-23
Sunita Patel,lead518@example.com,9048652478.0,Delhi,Delhi,New,Website,17-03-2025
Vikram Gupta,lead155@example.com,9585266790.0,Delhi,Karnataka,New,Referral,2025-03-25
Megha Gupta,,9381251010.0,Hyderabad,Maharashtra,Lost,Social Media,2026/03/11
Sunita Joshi,lead582@example.com,9742431088.0,Hyderabad,Delhi,Qualified,Social Media,10-01-2026
Deepak Patel,lead1070@example.com,9695638053.0,,Telangana,,Social Media,2025/10/20
Neha Kumar,lead91@example.com,9081762149.0,Delhi,Karnataka,New,Google Ads,31-01-2025
Rahul Thapa,,9978078993.0,,Maharashtra,New,Social Media,2026-05-27
Amit Thapa,lead401@example.com,9773103608.0,Mumbai,Kerala,Qualified,Website,01/12/2025
Sanjay Verma,lead109@example.com,9452548094.0,Mumbai,Maharashtra,New,Google Ads,2025-07-11
Amit Patel,lead361@example.com,9166803214.0,Kochi,Telangana,Qualified,Google Ads,2025-12-06
Sunita Patel,lead703@example.com,9496028389.0,Pune,Maharashtra,New,Referral,2025/05/25
Megha Joshi,lead273@example.com,9816683194.0,Kochi,Telangana,Follow Up,Referral,2025-08-12
Sunita Joshi,lead258@example.com,9843957413.0,Mumbai,Delhi,Follow Up,Google Ads,29/08/2025
Sunita Verma,lead754@example.com,9630230606.0,,Telangana,New,Referral,2025-04-26
Rahul Verma,lead304@example.com,9147659286.0,Mumbai,Delhi,Qualified,Referral,16-05-2026
Sunita Das,lead733@example.com,9208804404.0,Hyderabad,Karnataka,New,Referral,29/05/2025
Megha Kumar,lead346@example.com,9872352560.0,Mumbai,Karnataka,New,Google Ads,2026/06/14
Neha Kumar,,9042712947.0,Delhi,Karnataka,Lost,Referral,21-05-2025
Vikram Kumar,lead572@example.com,9296517551.0,Delhi,Telangana,New,Website,21-01-2026
Sanjay Patel,lead134@example.com,9384183398.0,Pune,Maharashtra,Qualified,Referral,2025/04/05
Neha Patel,lead545@example.com,9269059341.0,Bengaluru,Telangana,Lost,Google Ads,2026/04/19
Sunita Verma,lead664@example.com,9978282882.0,Kochi,Karnataka,Qualified,Google Ads,28/03/2025
Priya Singh,lead1072@example.com,9466586502.0,Kochi,Maharashtra,Qualified,Website,2026/01/20
Priya Reddy,lead898@example.com,9008966272.0,,Delhi,Follow Up,Referral,2025-09-26
Neha Kumar,lead595@example.com,9306409378.0,Bengaluru,Kerala,Lost,Google Ads,2025/09/29
Rahul Joshi,lead48@example.com,9449531516.0,Mumbai,Karnataka,,Google Ads,22/11/2025
Rahul Gupta,lead832@example.com,9791181801.0,Pune,Delhi,,Website,01/06/2026
Amit Verma,lead746@example.com,9889750739.0,,Delhi,,Google Ads,2026-05-11
Megha Gupta,lead853@example.com,9697081373.0,Pune,Maharashtra,Follow Up,Social Media,2026/05/30
Megha Gupta,,9466535798.0,,Delhi,Qualified,Google Ads,23/01/2025
Priya Patel,lead103@example.com,9831831234.0,Bengaluru,Delhi,Follow Up,Social Media,11-12-2025
Amit Kumar,lead841@example.com,9813908086.0,Delhi,Telangana,,Google Ads,21/06/2025
Sunita Thapa,lead481@example.com,9824284869.0,Kochi,Karnataka,,Google Ads,2025-03-02
Priya Reddy,lead973@example.com,9512465176.0,Mumbai,Delhi,Qualified,Website,07/07/2025
Sanjay Verma,lead160@example.com,9930257522.0,,Maharashtra,Follow Up,Google Ads,2025-07-23
Sunita Joshi,lead849@example.com,9425325342.0,,Karnataka,,Website,2026/01/30
Amit Reddy,,,Bengaluru,Telangana,Qualified,Referral,15/11/2025
Rahul Sharma,lead1084@example.com,9336914959.0,Delhi,Telangana,New,Social Media,27-01-2025
Megha Gupta,lead784@example.com,9265614777.0,Pune,Delhi,Follow Up,Google Ads,27-02-2025
Neha Kumar,lead891@example.com,9970810165.0,Mumbai,Delhi,New,Google Ads,2025-08-17
Sunita Das,lead1039@example.com,9935239795.0,Pune,Maharashtra,New,Social Media,21/02/2026
Megha Patel,lead1074@example.com,9250673021.0,,Karnataka,Qualified,Referral,2026/05/02
Megha Patel,lead922@example.com,9665870825.0,,Karnataka,,Referral,2025/08/29
Neha Verma,lead614@example.com,9662426784.0,,Maharashtra,New,Referral,06/06/2025
Neha Das,,9123662808.0,Delhi,Delhi,New,Referral,19-05-2025
Neha Reddy,lead473@example.com,9324585701.0,Delhi,Delhi,Follow Up,Social Media,05/06/2026
Sunita Sharma,lead474@example.com,9665484396.0,Mumbai,Delhi,Lost,Google Ads,2025-10-05
Rahul Sharma,lead596@example.com,9647941986.0,Kochi,Karnataka,New,Referral,2025-03-16
Vikram Patel,lead164@example.com,9080773836.0,Pune,Telangana,Lost,Referral,2025-04-12
Priya Verma,lead233@example.com,9951265595.0,,Karnataka,Qualified,Website,06/04/2026
Priya Thapa,,9221257019.0,Kochi,Karnataka,Lost,Google Ads,2025/12/17
Amit Singh,lead319@example.com,9295827508.0,Kochi,Kerala,Follow Up,Referral,17-01-2025
Vikram Kumar,lead26@example.com,9501304071.0,Delhi,Maharashtra,Follow Up,Referral,25-05-2026
Priya Joshi,lead209@example.com,9314233416.0,Mumbai,Telangana,,Website,18/02/2025
Anjali Thapa,lead478@example.com,9716419561.0,Hyderabad,Telangana,,Referral,2025/05/17
Neha Patel,lead531@example.com,9437762796.0,Kochi,Kerala,,Website,04-08-2025
Neha Gupta,lead848@example.com,9754524434.0,Bengaluru,Karnataka,Qualified,Website,2025-11-01
Rahul Joshi,lead942@example.com,9637295075.0,Hyderabad,Delhi,Lost,Website,2026-05-04
Amit Patel,lead1047@example.com,9133134573.0,Hyderabad,Maharashtra,Lost,Referral,2025/12/05
Anjali Verma,lead921@example.com,9600985004.0,Pune,Karnataka,Qualified,Social Media,10-08-2025
Priya Das,lead138@example.com,9345487504.0,Bengaluru,Telangana,New,Google Ads,07/08/2025
Deepak Singh,lead980@example.com,9573347218.0,Hyderabad,Delhi,,Google Ads,19/07/2025
Neha Joshi,,9268736898.0,Mumbai,Delhi,New,Website,22-05-2026
Neha Reddy,,9337525619.0,Mumbai,Kerala,Lost,Google Ads,2026/02/06
Vikram Sharma,lead441@example.com,9541657304.0,Pune,Maharashtra,Qualified,Social Media,2025/06/14
Megha Gupta,,,Mumbai,Maharashtra,,Google Ads,2025-09-09
Anjali Das,lead453@example.com,9141473431.0,Bengaluru,Karnataka,Qualified,Website,2026-03-20
Anjali Verma,lead166@example.com,9082007570.0,Kochi,Telangana,Follow Up,Google Ads,2026-05-15
Megha Singh,lead36@example.com,9306083693.0,Delhi,Karnataka,,Website,2025/12/04
Rahul Patel,lead786@example.com,9724181726.0,Pune,Kerala,,Referral,26-02-2026
Vikram Kumar,lead1007@example.com,9727730236.0,Mumbai,Karnataka,Lost,Website,2026/05/24
Vikram Sharma,lead851@example.com,9864448006.0,Delhi,Kerala,Qualified,Social Media,02-06-2026
Sanjay Patel,lead881@example.com,9451546241.0,Mumbai,Kerala,New,Social Media,2025-07-18
Vikram Gupta,lead864@example.com,9466175024.0,Mumbai,Karnataka,Qualified,Google Ads,2025/01/21
Priya Patel,lead1051@example.com,9639789244.0,Mumbai,Karnataka,New,Referral,15/03/2026
Sunita Reddy,lead730@example.com,9086786852.0,Kochi,Karnataka,,Social Media,2026-01-28
Vikram Thapa,lead31@example.com,9630350257.0,Hyderabad,Telangana,,Website,27/02/2026
Vikram Singh,lead700@example.com,,Bengaluru,Karnataka,Qualified,Google Ads,2025/12/20
Neha Kumar,lead913@example.com,9794035398.0,Hyderabad,Delhi,New,Website,16-02-2026
Priya Sharma,lead161@example.com,9009385762.0,Pune,Kerala,Qualified,Social Media,16-02-2025
Amit Sharma,lead388@example.com,9471796450.0,Pune,Delhi,New,Google Ads,03-04-2025
Rahul Thapa,lead311@example.com,9571524635.0,Delhi,Maharashtra,Qualified,Google Ads,2026-05-19
Vikram Thapa,lead912@example.com,9951977787.0,Delhi,Kerala,Qualified,Website,2026-01-28
Sanjay Thapa,lead1078@example.com,9749134171.0,Delhi,Delhi,Lost,Social Media,2026/04/09
Anjali Reddy,lead520@example.com,9513409707.0,Delhi,Kerala,New,Social Media,08-04-2025
Neha Das,lead814@example.com,9323635129.0,Bengaluru,Delhi,,Google Ads,10-09-2025
Priya Das,lead710@example.com,9390804306.0,Kochi,Kerala,New,Referral,2026/05/09
Deepak Das,lead817@example.com,9737036616.0,Bengaluru,Kerala,Lost,Referral,19/03/2026
Sunita Thapa,lead787@example.com,9755009711.0,Kochi,Maharashtra,Follow Up,Social Media,26/03/2026
Sanjay Reddy,lead279@example.com,9726107330.0,Delhi,Telangana,,Website,21-05-2025
Neha Das,lead97@example.com,9191711966.0,Kochi,Karnataka,Qualified,Website,2025/08/04
Anjali Kumar,lead18@example.com,9690926631.0,Delhi,Delhi,,Social Media,01/04/2025
Amit Thapa,lead586@example.com,9043252932.0,Pune,Telangana,Lost,Social Media,25/05/2025
Deepak Patel,lead745@example.com,9147543606.0,Bengaluru,Delhi,Qualified,Website,2025-02-25
